Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9726484322881921,0.054878048780487805,0.9183673469387755,0.10356731875719218,0.9715978259621236
Random Forest,0.9977528878901724,0.42346938775510207,0.8469387755102041,0.564625850340136,0.9801981885888852
XGBoost,0.9992802219023208,0.7522123893805309,0.8673469387755102,0.8056872037914692,0.9808790110022625
Deep Neural Network,0.9989291106351603,0.6390977443609023,0.8673469387755102,0.7359307359307359,0.9793169237306627
LSTM Network,0.9964186650749622,0.30656934306569344,0.8571428571428571,0.45161290322580644,0.977091420417351
Autoencoder,0.9512130894280397,0.029484029484029485,0.8571428571428571,0.057007125890736345,0.9521479103740539
